,Transformer2_Features,TemplateDescription
0,"[901, 79, 77, 80, 78, 76, 57, 81, 75, 59, 58]",A yaw misalignment is affecting the turbine operation.High and variable wind speed is affecting the stabilisation properties of the yaw brake.The wind vane measurements signal a high deviation in absolute wind direction.A forced shutdown is recommended until the absolute wind direction returns to normal.
1,"[901, 79, 16, 56, 55, 77, 80, 76, 81, 33, 27]",A yaw misalignment is affecting the turbine operation.High and variable wind speed is affecting the stabilisation properties of the yaw brake.The reactive power control mechanism is disfunctional.Lack of grid power is preventing the yaw brake to stabilise the alignment of blades towards wind direction.Checking the reactive power control system for fault is recommended.
2,"[901, 16, 77, 79, 76, 58, 78, 57, 59, 80, 75]",A yaw misalignment is affecting the turbine operation.The reactive power control mechanism is disfunctional.Lack of grid power is preventing the yaw brake to stabilise the alignment of blades towards wind direction.Checking the reactive power control system for fault is recommended.
3,"[901, 54, 99, 98, 100, 61, 73, 74, 53, 58, 69]","A disfunctional hydraulic power unit of the yaw is affecting the turbine operation.Controlled system pressure environment and regulated flow rate essential.To stabilize the yaw bearing against rotation, braking is necessary.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
4,"[901, 74, 69, 67, 100, 68, 82, 99, 78, 73, 101]","A yaw misalignment is affecting the turbine operation.High and variable wind speed is affecting the stabilisation properties of the yaw brake.To stabilize the yaw bearing against rotation, braking is necessary.A forced shutdown is recommended until the absolute wind direction returns to normal."
5,"[901, 94, 68, 53, 52, 69, 70, 67, 88, 87, 51]",A yaw misalignment is affecting the turbine operation.High rotational speed of the rotor is affecting spinning tension.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
6,"[901, 101, 67, 69, 66, 74, 97, 1, 65, 70, 96]",A yaw misalignment is affecting the turbine operation.High rotational speed of the rotor is affecting spinning tension.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
7,"[901, 94, 53, 52, 68, 69, 70, 87, 88, 51, 67]","A yaw misalignment is affecting the turbine operation.To stabilize the yaw bearing against rotation, braking is necessary.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
8,"[901, 94, 52, 68, 53, 69, 67, 96, 51, 63, 76]","A yaw misalignment is affecting the turbine operation.To stabilize the yaw bearing against rotation, braking is necessary.Please check the upper shaft of the rotor sweep disk for high temperature.High rotational speed of the rotor is affecting spinning tension.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
9,"[901, 94, 52, 68, 53, 69, 67, 96, 51, 63, 76]","A yaw misalignment is affecting the turbine operation.To stabilize the yaw bearing against rotation, braking is necessary.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
10,"[901, 101, 67, 8, 69, 0, 1, 66, 99, 74, 98]",A yaw misalignment is affecting the turbine operation.High rotational speed of the rotor is affecting spinning tension.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
11,"[902, 58, 78, 27, 77, 85, 76, 57, 9, 84, 56]",There is a critical anomaly in the electronic pitch controller.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.
12,"[902, 16, 78, 58, 17, 85, 84, 92, 91, 76, 77]",There is a critical anomaly in the electronic pitch controller.Ambient temperature changes are causing abnormal operation of the pitch controller.Please check the blade pitch controller within the nacelle for adjusting the lidar.
13,"[902, 77, 35, 78, 58, 15, 16, 27, 75, 17, 89]",There is a critical anomaly in the electronic pitch controller.The reactive power control mechanism is disfunctional.The wind vane measurements signal a high deviation in absolute wind direction.Checking the reactive power control system for fault is recommended.
14,"[902, 94, 89, 88, 82, 99, 84, 93, 98, 34, 87]",There is a critical anomaly in the electronic pitch controller.The wind vane measurements signal a high deviation in absolute wind direction.A forced shutdown is recommended until the absolute wind direction returns to normal.Checking the ambient temperature of generator stator is recommended.
15,"[902, 17, 8, 83, 74, 84, 6, 2, 0, 85, 96]",There is a critical anomaly in the electronic pitch controller.The reactive power control mechanism is disfunctional.Checking the reactive power control system for fault is recommended.Ambient temperature changes are causing abnormal operation of the pitch controller.Checking the ambient temperature of generator stator is recommended.
16,"[902, 74, 83, 84, 6, 8, 2, 85, 17, 10, 0]",There is a critical anomaly in the electronic pitch controller.High and variable wind speed is affecting the pitch system statibility.A forced shutdown is recommended until the absolute wind direction returns to normal.Ambient temperature changes are causing abnormal operation of the pitch controller.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.
17,"[902, 2, 6, 0, 3, 1, 25, 5, 13, 27, 19]",There is a critical anomaly in the electronic pitch controller.There is misaligment in pitch angle.The hub temperature is affecting the hydraulic pitch control mechanismPlease check the hydraulic pitch system fluids for oil cleanliness.
18,"[902, 6, 2, 3, 0, 1, 27, 25, 5, 19, 13]",There is a critical anomaly in the electronic pitch controller.There is misaligment in pitch angle.Please check the pitch angle controller for anomaly.The hub temperature is affecting the hydraulic pitch control mechanismPlease check the hydraulic pitch system fluids for oil cleanliness.
19,"[902, 94, 101, 89, 93, 88, 99, 82, 98, 100, 90]",There is a critical anomaly in the electronic pitch controller.High rotational speed of the rotor is affecting spinning tension.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.
20,"[903, 79, 80, 78, 77, 76, 55, 52, 75, 54, 11]",Limit switch activated as pitch blade has reached fine limit.The wind vane measurements signal a high deviation in absolute wind direction.Please check the pitch control switch mechanism for anomaly.Fine tuning and repair of pitch controller is recommended.
21,"[903, 79, 77, 78, 80, 76, 75, 55, 52, 54, 11]",Limit switch activated as pitch blade has reached fine limit.The wind vane measurements signal a high deviation in absolute wind direction.Please check the pitch control switch mechanism for anomaly.Fine tuning and repair of pitch controller is recommended.
22,"[903, 78, 93, 68, 76, 52, 77, 95, 94, 75, 96]",Limit switch activated as pitch blade has reached fine limit.The wind vane measurements signal a high deviation in absolute wind direction.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.Fine tuning and repair of pitch controller is recommended.
23,"[904, 95, 94, 101, 96, 35, 36, 34, 37, 60, 59]","Blades are too slow to respond, and not capturing all the wind they could.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
24,"[904, 11, 83, 38, 54, 84, 55, 85, 72, 35, 50]","Blades are too slow to respond, and not capturing all the wind they could.The generator converter speed is too high, affecting kinetic load.Synchronous generator speed control is essential to prevent decrease in blade effeciency.Electrical braking mechanism maintenance is recommended to prevent stalling effect."
25,"[904, 60, 0, 61, 2, 59, 42, 46, 63, 78, 54]","Blades are too slow to respond, and not capturing all the wind they could.There is misaligment in pitch angle.The nacelle temperature is not in ambient range.Due to low temperature, turbine blades may be frozen.Forced shutdown is recommended until weather conditions become normal."
26,"[904, 95, 96, 94, 49, 10, 9, 26, 60, 59, 34]","Blades are too slow to respond, and not capturing all the wind they could.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
27,"[904, 94, 95, 36, 37, 35, 96, 34, 49, 93, 9]","Blades are too slow to respond, and not capturing all the wind they could.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
28,"[905, 79, 80, 35, 86, 36, 81, 87, 69, 88, 101]","There is an anomaly in gearbox oil pressure levels.The wind vane measurements signal a high deviation in absolute wind direction.High wind gusts are affecting the gearbox operation.Due to loading on the gearbox bearings, the oil tank levels are suffering inconsistency.Gearbox oil tank checks for leaks or replacement is recommended."
29,"[905, 93, 95, 68, 101, 70, 66, 90, 89, 92, 91]","There is an anomaly in gearbox oil pressure levels.The grid voltage fluctaction is causing load changes.High rotational speed of the rotor is affecting spinning tension.Due to loading on the gearbox bearings, the oil tank levels are suffering inconsistency.Gearbox oil tank checks for leaks or replacement is recommended."
30,"[905, 83, 85, 84, 69, 28, 101, 73, 71, 94, 29]",There is an anomaly in gearbox oil pressure levels.The outside temperature is not in ambient range.The variation in temperature is directly affecting the energy balance of gearbox.Gearbox oil tank checks for leaks or replacement is recommended.
31,"[905, 85, 84, 83, 94, 74, 75, 93, 70, 50, 96]",There is an anomaly in gearbox oil pressure levels.The outside temperature is not in ambient range.The variation in temperature is directly affecting the energy balance of gearbox.Gearbox oil tank checks for leaks or replacement is recommended.
32,"[905, 69, 83, 84, 28, 85, 67, 71, 73, 94, 29]",There is an anomaly in gearbox oil pressure levels.High wind gusts are affecting the gearbox operation.The wind speed is very high and not in normal range.The outside temperature is not in ambient range.The variation in temperature is directly affecting the energy balance of gearbox.Gearbox oil tank checks for leaks or replacement is recommended.A forced shutdown is recommended until the absolute wind direction returns to normal.
33,"[906, 101, 78, 68, 67, 69, 73, 70, 50, 66, 72]",A yaw misalignment is affecting the turbine operation.High rotational speed of the rotor is affecting spinning tension.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
34,"[906, 68, 69, 74, 67, 94, 76, 71, 66, 75, 100]",A yaw misalignment is affecting the turbine operation.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
35,"[906, 68, 69, 74, 67, 66, 76, 71, 75, 94, 64]",A yaw misalignment is affecting the turbine operation.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
36,"[906, 68, 69, 74, 67, 66, 71, 76, 94, 73, 75]",A yaw misalignment is affecting the turbine operation.High and variable wind speed is affecting the stabilisation properties of the yaw brake.A forced shutdown is recommended until the absolute wind direction returns to normal.
37,"[907, 77, 81, 76, 79, 80, 72, 83, 85, 84, 70]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.The wind speed is very high and not in normal range.To prevent failure in brake control and pitch control, forced shutdown is recommended."
38,"[907, 80, 60, 93, 75, 77, 59, 61, 78, 69, 88]",The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.
39,"[907, 75, 76, 36, 77, 35, 65, 94, 100, 37, 95]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.The wind speed is very high and not in normal range.To prevent failure in brake control and pitch control, forced shutdown is recommended."
40,"[907, 94, 67, 93, 36, 35, 71, 92, 91, 96, 95]","The hydraulic pitch control mechanism is having anomaly.The wind speed is very high and not in normal range.High rotational speed of the rotor is affecting spinning tension.To prevent failure in brake control and pitch control, forced shutdown is recommended."
41,"[907, 52, 51, 75, 81, 76, 77, 84, 85, 86, 80]","The hydraulic pitch control mechanism is having anomaly.Gearbox oil temperature is not in ambient range.Excessive system heat can cause hydraulic fluids to break down.To prevent catastrophic failure to internal components (piston slipper pad and piston), replacement and check of hydraulic fluids is necessary."
42,"[907, 52, 51, 75, 76, 77, 81, 45, 35, 37, 72]","The hydraulic pitch control mechanism is having anomaly.Gearbox oil temperature is not in ambient range.Excessive system heat can cause hydraulic fluids to break down.To prevent catastrophic failure to internal components (piston slipper pad and piston), replacement and check of hydraulic fluids is necessary."
43,"[907, 100, 98, 99, 97, 72, 82, 75, 101, 74, 68]","The hydraulic pitch control mechanism is having anomaly.Rotor bearing temperature is not in ambient range.Excessive system heat can cause hydraulic fluids to break down.To prevent catastrophic failure to internal components (piston slipper pad and piston), replacement and check of hydraulic fluids is necessary."
